source,Hearing #,Date,Hearing/Report,Year,Congress,Type,Committee1,Committee2,Category1
,,2009-03-31T00:00:00,"EXECUTIVE SESSION to MARK-UP and VOTE on S. 414, Credit Card Accountability Responsibility and Disclosure Act of 2009",2009,111,Markup,205,,9
,,2009-10-29T00:00:00,"EXECUTIVE SESSION to MARK-UP an original bill entitled: “Comprehensive Iran Sanctions, Accountability and Divestment Act of 2009” and VOTE on the revised subcommittee organization for the 111th Congress.",2009,111,Markup,205,,9
,,2009-11-19T00:00:00,Executive Session: to consider Opening Statements on an original bill entitled: “Restoring American Financial Stability Act of 2009”,2009,111,Meeting,205,,9
,,2010-08-03T00:00:00,"Executive Session to consider ""Livable Communities Act of 2010""",2010,111,Meeting,205,,9
,,2010-09-30T00:00:00,"Executive Session to consider the following bills: S. 118, the “Section 202 Supportive Housing for the Elderly Act of 2009” and S. 1481, the “Frank Melville Supportive Housing Investment Act of 2009”",2010,111,Meeting,205,,9
,DEPARTMENT OF JUSTICE: Attorney General,,,,112,Hearing,220,,3
,DEPARTMENT OF JUSTICE: OFFICE OF THE ATTORNEY GENERAL,,,,113,Hearing,220,,3
,"Joint Hearing, 114th Congress - [errata] Tomah Vamc: Examining Quality, Access, and A Culture of Overreliance on High Risk...",,,,114,Errata,214,,0
,"Joint Hearing, 114th Congress - [errata] Tomah Vamc: Examining Quality, Access, and A Culture of Overreliance on High Risk...",,,,114,Errata,221,,0
,Office of the Secretary of Defense,,,,112,Hearing,220,,3
,"S. Hrg. 111-1044, Part err - [ERRATA] THE NOMINATION OF ELENA KAGAN TO BE AN ASSOCIATE JUSTICE OF THE SUPREME COURT OF THE...",,,,111,Errata,217,,0
,S. Hrg. 111-1081 - Iran Sanctions: Why Does the U.s. Government Do Business with Companies Doing Business in Iran?,,,,111,Hearing,214,,4
,S. Hrg. 111-264 - Hearing on Pending Health and Benefits Legislation,,,,111,Hearing,221,,2
,S. Hrg. 111-528 - Law Enforcement Responses to Mexican Drug Cartels,,,,111,Hearing,220,,3
,"S. Hrg. 111-540, Volume 1 - Keeping Foreign Corruption Out of the United States: Four Case Histories",,,,111,Hearing,214,,3
,S. Hrg. 111-677 - Nomination of W. Craig Fugate,,,,111,Hearing,214,,1
,"S. Hrg. 111-679, Part 3 - [ERRATA] DEEPWATER HORIZON LIABILITY",,,,111,Errata,208,,0
,"S. Hrg. 111-869 - Briefing on Operation Moshtarak in Helmand Province, Afghanistan",,,,111,Briefing,204,,4
,S. Hrg. 111-979 - NOMINATION OF JANE HOLL LUTE,,,,111,Hearing,214,,1
,"S. Hrg. 111-98 - MARKOWSKY, MILLER, BABAUTA, AND JARVIS NOMINATIONS",,,,111,Hearing,208,,1
,S. Hrg. 112-135 - Protecting Our Seniors: Supporting Efforts to End Elder Abuse,,,,112,Hearing,201,,7
,S. Hrg. 112-188 - [ERRATA] QUADRENNIAL ENERGY REVIEW ACT,,,,112,Errata,208,,0
,S. Hrg. 112-399 - Nominations of the 112th Congress,,,,112,Hearing,220,,1
,"S. Hrg. 112-439 - Commerce, Justice, Science, and Related Agencies Appropriations for Fiscal Year 2012",,,,112,Hearing,220,,2
,S. Hrg. 112-557 - Assessing Efforts to Combat Waste and Fraud in Federal Programs,,,,112,Hearing,214,,3
,"S. Hrg. 112-597, Volume 2 - U.S. VULNERABILITIES TO MONEY LAUNDERING, DRUGS, AND TERRORIST FINANCING: HSBC CASE HISTORY",,,,112,Hearing,214,,6
